survey_id,response_id,question_id,question_text,value_json,source_version
survey-demo,B0122,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0122,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0122,q_wait,Tempo de espera,21,1
survey-demo,B0123,q_wait,Tempo de espera,13,1
survey-demo,B0125,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0125,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0125,q_wait,Tempo de espera,20,1
survey-demo,B0127,q_wait,Tempo de espera,15,1
survey-demo,B0128,q_wait,Tempo de espera,50,2
survey-demo,B0129,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0129,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0129,q_wait,Tempo de espera,23,1
survey-demo,B0132,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0132,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0132,q_wait,Tempo de espera,1,1
survey-demo,B0133,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0133,q_wait,Tempo de espera,26,1
survey-demo,B0134,q_wait,Tempo de espera,12,1
survey-demo,B0135,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0135,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0135,q_wait,Tempo de espera,69,1
survey-demo,B0136,q_wait,Tempo de espera,50,2
survey-demo,B0137,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0137,q_wait,Tempo de espera,10,1
survey-demo,B0138,q_wait,Tempo de espera,22,1
survey-demo,B0139,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0139,q_wait,Tempo de espera,15,1
survey-demo,B0140,q_wait,Tempo de espera,67,1
survey-demo,B0141,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0141,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0141,q_wait,Tempo de espera,7,1
survey-demo,B0142,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0142,q_wait,Tempo de espera,18,1
survey-demo,B0143,q_wait,Tempo de espera,53,1
survey-demo,B0144,q_wait,Tempo de espera,73,2
survey-demo,B0145,q_wait,Tempo de espera,0,1
survey-demo,B0146,q_wait,Tempo de espera,88,1
survey-demo,B0147,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0147,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0147,q_wait,Tempo de espera,75,1
survey-demo,B0148,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0148,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0148,q_wait,Tempo de espera,33,1
survey-demo,B0150,q_wait,Tempo de espera,14,1
survey-demo,B0151,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0151,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0151,q_wait,Tempo de espera,43,1
survey-demo,B0152,q_wait,Tempo de espera,32,2
survey-demo,B0153,q_wait,Tempo de espera,11,1
survey-demo,B0154,q_wait,Tempo de espera,61,1
survey-demo,B0156,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0156,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0156,q_wait,Tempo de espera,85,1
survey-demo,B0157,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0157,q_wait,Tempo de espera,88,1
survey-demo,B0158,q_wait,Tempo de espera,5,1
survey-demo,B0159,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0159,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0159,q_wait,Tempo de espera,43,1
survey-demo,B0160,q_wait,Tempo de espera,13,2
survey-demo,B0161,q_wait,Tempo de espera,66,1
survey-demo,B0163,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0163,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0163,q_wait,Tempo de espera,40,1
survey-demo,B0164,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0164,q_wait,Tempo de espera,37,1
survey-demo,B0166,q_wait,Tempo de espera,28,1
survey-demo,B0167,q_wait,Tempo de espera,15,1
survey-demo,B0168,q_wait,Tempo de espera,39,2
survey-demo,B0169,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0169,q_wait,Tempo de espera,35,1
survey-demo,B0170,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0170,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0170,q_wait,Tempo de espera,69,1
survey-demo,B0171,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0171,q_wait,Tempo de espera,32,1
survey-demo,B0172,q_wait,Tempo de espera,17,1
survey-demo,B0173,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0173,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0173,q_wait,Tempo de espera,52,1
survey-demo,B0174,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0174,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0174,q_wait,Tempo de espera,67,1
survey-demo,B0175,q_wait,Tempo de espera,72,1
survey-demo,B0176,q_wait,Tempo de espera,79,2
survey-demo,B0177,q_wait,Tempo de espera,54,1
survey-demo,B0178,q_wait,Tempo de espera,11,1
survey-demo,B0182,q_wait,Tempo de espera,16,1
survey-demo,B0183,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0183,q_wait,Tempo de espera,71,1
survey-demo,B0184,q_wait,Tempo de espera,72,2
survey-demo,B0185,q_wait,Tempo de espera,72,1
survey-demo,B0186,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0186,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0186,q_wait,Tempo de espera,41,1
survey-demo,B0187,q_wait,Tempo de espera,76,1
survey-demo,B0188,q_wait,Tempo de espera,50,1
survey-demo,B0189,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0189,q_wait,Tempo de espera,24,1
survey-demo,B0192,q_wait,Tempo de espera,90,2
survey-demo,B0194,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0194,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0194,q_wait,Tempo de espera,21,1
survey-demo,B0195,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0195,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0195,q_wait,Tempo de espera,11,1
survey-demo,B0196,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0196,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0196,q_wait,Tempo de espera,51,1
survey-demo,B0198,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0198,q_wait,Tempo de espera,15,1
survey-demo,B0199,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0199,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0199,q_wait,Tempo de espera,18,1
survey-demo,B0200,q_wait,Tempo de espera,42,2
survey-demo,B0202,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0202,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0202,q_wait,Tempo de espera,49,1
survey-demo,B0203,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0203,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0203,q_wait,Tempo de espera,24,1
survey-demo,B0206,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0206,q_wait,Tempo de espera,47,1
survey-demo,B0207,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0207,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0207,q_wait,Tempo de espera,15,1
survey-demo,B0208,q_wait,Tempo de espera,52,2
survey-demo,B0211,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0211,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0211,q_wait,Tempo de espera,16,1
survey-demo,B0212,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0212,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0212,q_wait,Tempo de espera,81,1
survey-demo,B0213,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0213,q_wait,Tempo de espera,6,1
survey-demo,B0214,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0214,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0214,q_wait,Tempo de espera,88,1
survey-demo,B0215,q_wait,Tempo de espera,3,1
survey-demo,B0216,q_wait,Tempo de espera,43,2
survey-demo,B0217,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0217,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0217,q_wait,Tempo de espera,26,1
survey-demo,B0218,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0218,q_wait,Tempo de espera,18,1
survey-demo,B0219,q_wait,Tempo de espera,66,1
survey-demo,B0220,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0220,q_wait,Tempo de espera,87,1
survey-demo,B0221,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0221,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0221,q_wait,Tempo de espera,0,1
survey-demo,B0223,q_wait,Tempo de espera,82,1
survey-demo,B0224,q_wait,Tempo de espera,49,2
survey-demo,B0225,q_wait,Tempo de espera,84,1
survey-demo,B0226,q_wait,Tempo de espera,51,1
survey-demo,B0227,q_wait,Tempo de espera,17,1
survey-demo,B0228,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0228,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0228,q_wait,Tempo de espera,20,1
survey-demo,B0230,q_wait,Tempo de espera,59,1
survey-demo,B0232,q_wait,Tempo de espera,53,2
survey-demo,B0233,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0233,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0233,q_wait,Tempo de espera,88,1
survey-demo,B0234,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0234,q_wait,Tempo de espera,55,1
survey-demo,B0236,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0236,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0236,q_wait,Tempo de espera,11,1
survey-demo,B0237,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0237,q_wait,Tempo de espera,48,1
survey-demo,B0238,q_wait,Tempo de espera,5,1
survey-demo,B0239,q_wait,Tempo de espera,0,1
survey-demo,B0240,q_wait,Tempo de espera,60,2
survey-demo,B0241,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0241,q_wait,Tempo de espera,47,1
survey-demo,B0242,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0242,q_wait,Tempo de espera,13,1
survey-demo,B0243,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0243,q_wait,Tempo de espera,72,1
survey-demo,B0244,q_wait,Tempo de espera,71,1
survey-demo,B0246,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0246,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0246,q_wait,Tempo de espera,8,1
survey-demo,B0248,q_wait,Tempo de espera,9,2
survey-demo,B0252,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0252,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0252,q_wait,Tempo de espera,15,1
survey-demo,B0254,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0254,q_wait,Tempo de espera,11,1
survey-demo,B0255,q_wait,Tempo de espera,80,1
survey-demo,B0256,q_wait,Tempo de espera,6,2
survey-demo,B0258,q_wait,Tempo de espera,72,1
survey-demo,B0260,q_wait,Tempo de espera,74,1
survey-demo,B0261,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0261,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0261,q_wait,Tempo de espera,44,1
survey-demo,B0262,q_wait,Tempo de espera,87,1
survey-demo,B0264,q_wait,Tempo de espera,61,2
survey-demo,B0265,q_wait,Tempo de espera,15,1
survey-demo,B0268,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0268,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0268,q_wait,Tempo de espera,40,1
survey-demo,B0269,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0269,q_wait,Tempo de espera,66,1
survey-demo,B0270,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0270,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0270,q_wait,Tempo de espera,67,1
survey-demo,B0271,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0271,q_wait,Tempo de espera,63,1
survey-demo,B0272,q_wait,Tempo de espera,26,2
survey-demo,B0273,q_wait,Tempo de espera,29,1
survey-demo,B0274,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0274,q_wait,Tempo de espera,29,1
survey-demo,B0276,q_wait,Tempo de espera,25,1
survey-demo,B0278,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0278,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0278,q_wait,Tempo de espera,38,1
survey-demo,B0279,q_wait,Tempo de espera,58,1
survey-demo,B0280,q_wait,Tempo de espera,26,2
survey-demo,B0281,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0281,q_wait,Tempo de espera,90,1
survey-demo,B0283,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0283,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0283,q_wait,Tempo de espera,57,1
survey-demo,B0284,q_wait,Tempo de espera,77,1
survey-demo,B0285,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0285,q_wait,Tempo de espera,68,1
survey-demo,B0286,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0286,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0286,q_wait,Tempo de espera,2,1
survey-demo,B0287,q_wait,Tempo de espera,6,1
survey-demo,B0288,q_wait,Tempo de espera,41,2
survey-demo,B0289,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0289,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0289,q_wait,Tempo de espera,81,1
survey-demo,B0290,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0290,q_wait,Tempo de espera,43,1
survey-demo,B0293,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0293,q_wait,Tempo de espera,28,1
survey-demo,B0295,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0295,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0295,q_wait,Tempo de espera,8,1
survey-demo,B0296,q_wait,Tempo de espera,72,2
survey-demo,B0298,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0298,q_wait,Tempo de espera,74,1
survey-demo,B0299,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0299,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0299,q_wait,Tempo de espera,22,1
survey-demo,B0300,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0300,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0300,q_wait,Tempo de espera,63,1
survey-demo,B0301,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0301,q_wait,Tempo de espera,74,1
survey-demo,B0302,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0302,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0302,q_wait,Tempo de espera,30,1
survey-demo,B0303,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0303,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0303,q_wait,Tempo de espera,87,1
survey-demo,B0304,q_wait,Tempo de espera,85,2
survey-demo,B0305,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0305,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0305,q_wait,Tempo de espera,79,1
survey-demo,B0306,q_wait,Tempo de espera,30,1
survey-demo,B0307,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0307,q_wait,Tempo de espera,50,1
survey-demo,B0308,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0308,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0308,q_wait,Tempo de espera,72,1
survey-demo,B0309,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0309,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0309,q_wait,Tempo de espera,0,1
survey-demo,B0310,q_resolution,Problema resolvido?,"""Não""",1
