response_id,customer_id,journey_stage,responded_at,updated_at,event_version,nps_score,csat_score,category,comment
R000088,C001486,renewal,2025-01-06T19:57:00Z,2025-01-06T21:08:00Z,1,6,4,value,Everything worked as expected.
R000089,C000316,onboarding,2025-01-06T21:28:00Z,2025-01-07T00:25:00Z,1,9,4,access,The waiting time affected the experience.
R000090,C002317,service,2025-01-06T22:59:00Z,2025-01-06T23:37:00Z,1,9,4,schedule,Everything worked as expected.
R000091,C001234,support,2025-01-07T00:30:00Z,2025-01-07T01:57:00Z,1,4,2,communication,The waiting time affected the experience.
R000092,C000546,renewal,2025-01-07T02:01:00Z,2025-01-07T03:02:00Z,1,5,3,value,I needed more than one contact.
R000093,C002140,renewal,2025-01-07T03:32:00Z,2025-01-07T05:21:00Z,1,8,5,value,The waiting time affected the experience.
R000094,C000361,service,2025-01-07T05:03:00Z,2025-01-07T06:52:00Z,1,6,4,experience,Everything worked as expected.
R000095,C000016,support,2025-01-07T06:34:00Z,2025-01-07T08:03:00Z,1,10,4,communication,I needed more than one contact.
R000096,C001277,renewal,2025-01-07T08:05:00Z,2025-01-07T08:21:00Z,1,7,4,relationship,The waiting time affected the experience.
R000097,C002224,onboarding,2025-01-07T09:36:00Z,2025-01-07T11:58:00Z,1,9,4,access,The information could be clearer.
R000098,C002307,support,2025-01-07T11:07:00Z,2025-01-07T11:29:00Z,1,8,2,resolution,The information could be clearer.
R000099,C001691,support,2025-01-07T12:38:00Z,2025-01-07T15:08:00Z,1,6,4,resolution,The information could be clearer.
R000100,C001531,support,2025-01-07T14:09:00Z,2025-01-07T16:03:00Z,1,6,3,communication,I needed more than one contact.
R000101,C000003,onboarding,2025-01-07T15:40:00Z,2025-01-07T15:54:00Z,1,10,5,information,The waiting time affected the experience.
R000102,C001127,renewal,2025-01-07T17:11:00Z,2025-01-21T17:54:00Z,2,10,5,relationship,The response was quick.
R000103,C000807,support,2025-01-07T18:42:00Z,2025-01-07T21:11:00Z,1,7,4,resolution,The response was quick.
R000104,C000564,service,2025-01-07T20:13:00Z,2025-01-07T22:48:00Z,1,8,4,experience,Everything worked as expected.
R000105,C002098,support,2025-01-07T21:44:00Z,2025-01-07T23:56:00Z,1,8,4,communication,I needed more than one contact.
R000106,C001492,service,2025-01-07T23:15:00Z,2025-01-08T01:05:00Z,1,8,5,schedule,The response was quick.
R000107,C001252,support,2025-01-08T00:46:00Z,2025-01-08T02:27:00Z,1,7,4,resolution,The waiting time affected the experience.
R000108,C002358,renewal,2025-01-08T02:17:00Z,2025-01-08T02:42:00Z,1,5,3,value,The response was quick.
R000109,C002188,renewal,2025-01-08T03:48:00Z,2025-01-08T05:45:00Z,1,7,4,relationship,The information could be clearer.
R000110,C000895,renewal,2025-01-08T05:19:00Z,2025-01-08T06:30:00Z,1,8,4,relationship,Everything worked as expected.
R000111,C000335,support,2025-01-08T06:50:00Z,2025-01-08T09:26:00Z,1,6,5,communication,The response was quick.
R000112,C000016,onboarding,2025-01-08T08:21:00Z,2025-01-08T10:27:00Z,1,8,4,information,Everything worked as expected.
R000113,C001262,service,2025-01-08T09:52:00Z,2025-01-08T11:35:00Z,1,5,4,experience,The waiting time affected the experience.
R000114,C001369,renewal,2025-01-08T11:23:00Z,2025-01-08T13:32:00Z,1,4,4,value,I needed more than one contact.
R000115,C000204,service,2025-01-08T12:54:00Z,2025-01-08T14:03:00Z,1,10,5,schedule,Everything worked as expected.
R000116,C000593,support,2025-01-08T14:25:00Z,2025-01-08T16:45:00Z,1,6,2,resolution,The response was quick.
R000117,C000046,onboarding,2025-01-08T15:56:00Z,2025-01-08T16:59:00Z,1,8,5,access,The response was quick.
R000118,C001654,renewal,2025-01-08T17:27:00Z,2025-01-08T19:23:00Z,1,5,3,value,The response was quick.
R000119,C002219,service,2025-01-08T18:58:00Z,2025-01-22T18:59:00Z,2,6,2,experience,I needed more than one contact.
R000120,C000668,service,2025-01-08T20:29:00Z,2025-01-08T23:08:00Z,1,8,4,schedule,The response was quick.
R000121,C000439,renewal,2025-01-08T22:00:00Z,2025-01-09T00:03:00Z,1,9,5,relationship,Everything worked as expected.
R000122,C001518,onboarding,2025-01-08T23:31:00Z,2025-01-08T23:49:00Z,1,10,3,access,The response was quick.
R000123,C000591,support,2025-01-09T01:02:00Z,2025-01-09T02:40:00Z,1,8,3,communication,I needed more than one contact.
R000124,C002227,renewal,2025-01-09T02:33:00Z,2025-01-09T04:54:00Z,1,8,5,relationship,Everything worked as expected.
R000125,C000496,service,2025-01-09T04:04:00Z,2025-01-09T06:51:00Z,1,6,4,experience,The response was quick.
R000126,C000164,service,2025-01-09T05:35:00Z,2025-01-09T06:08:00Z,1,10,4,schedule,The response was quick.
R000127,C001647,support,2025-01-09T07:06:00Z,2025-01-09T08:46:00Z,1,9,2,resolution,The response was quick.
R000128,C001241,onboarding,2025-01-09T08:37:00Z,2025-01-09T09:24:00Z,1,9,4,access,Everything worked as expected.
R000129,C001027,service,2025-01-09T10:08:00Z,2025-01-09T12:24:00Z,1,9,5,experience,The response was quick.
R000130,C001883,renewal,2025-01-09T11:39:00Z,2025-01-09T13:29:00Z,1,5,4,value,I needed more than one contact.
R000131,C001568,renewal,2025-01-09T13:10:00Z,2025-01-09T16:00:00Z,1,6,2,relationship,The information could be clearer.
R000132,C000410,support,2025-01-09T14:41:00Z,2025-01-09T15:01:00Z,1,6,2,resolution,Everything worked as expected.
R000133,C000078,service,2025-01-09T16:12:00Z,2025-01-09T18:48:00Z,1,7,3,experience,The information could be clearer.
R000134,C000330,service,2025-01-09T17:43:00Z,2025-01-09T18:30:00Z,1,9,3,schedule,I needed more than one contact.
R000135,C001204,service,2025-01-09T19:14:00Z,2025-01-09T20:04:00Z,1,4,5,schedule,The information could be clearer.
R000136,C000618,support,2025-01-09T20:45:00Z,2025-01-23T21:03:00Z,2,8,2,communication,The waiting time affected the experience.
R000137,C002398,renewal,2025-01-09T22:16:00Z,2025-01-09T23:23:00Z,1,6,3,relationship,I needed more than one contact.
R000138,C001446,service,2025-01-09T23:47:00Z,2025-01-10T02:01:00Z,1,7,4,schedule,I needed more than one contact.
R000139,C001530,service,2025-01-10T01:18:00Z,2025-01-10T04:09:00Z,1,10,5,schedule,The waiting time affected the experience.
R000140,C000165,onboarding,2025-01-10T02:49:00Z,2025-01-10T04:35:00Z,1,8,5,access,The information could be clearer.
R000141,C000464,service,2025-01-10T04:20:00Z,2025-01-10T06:47:00Z,1,7,4,schedule,The waiting time affected the experience.
R000142,C002120,onboarding,2025-01-10T05:51:00Z,2025-01-10T06:36:00Z,1,7,3,information,I needed more than one contact.
R000143,C000493,renewal,2025-01-10T07:22:00Z,2025-01-10T08:49:00Z,1,6,4,relationship,The waiting time affected the experience.
R000144,C001818,onboarding,2025-01-10T08:53:00Z,2025-01-10T10:10:00Z,1,6,5,information,The response was quick.
R000145,C002345,service,2025-01-10T10:24:00Z,2025-01-10T12:00:00Z,1,8,4,experience,Everything worked as expected.
R000146,C000707,service,2025-01-10T11:55:00Z,2025-01-10T13:52:00Z,1,9,5,experience,The information could be clearer.
R000147,C000790,onboarding,2025-01-10T13:26:00Z,2025-01-10T14:57:00Z,1,8,5,information,The waiting time affected the experience.
R000148,C002397,support,2025-01-10T14:57:00Z,2025-01-10T16:19:00Z,1,4,3,communication,The response was quick.
R000149,C001650,onboarding,2025-01-10T16:28:00Z,2025-01-10T18:37:00Z,1,9,5,information,The response was quick.
R000150,C001012,service,2025-01-10T17:59:00Z,2025-01-10T19:16:00Z,1,7,4,experience,The waiting time affected the experience.
R000151,C000161,support,2025-01-10T19:30:00Z,2025-01-10T22:06:00Z,1,6,3,communication,The waiting time affected the experience.
R000152,C000130,onboarding,2025-01-10T21:01:00Z,2025-01-10T23:24:00Z,1,5,4,information,The waiting time affected the experience.
R000153,C001319,support,2025-01-10T22:32:00Z,2025-01-24T23:07:00Z,2,8,3,resolution,Everything worked as expected.
R000154,C000231,service,2025-01-11T00:03:00Z,2025-01-11T00:40:00Z,1,9,5,experience,I needed more than one contact.
R000155,C001307,service,2025-01-11T01:34:00Z,2025-01-11T02:29:00Z,1,7,4,experience,Everything worked as expected.
R000156,C001209,service,2025-01-11T03:05:00Z,2025-01-11T05:50:00Z,1,7,4,schedule,The information could be clearer.
R000157,C001698,service,2025-01-11T04:36:00Z,2025-01-11T04:41:00Z,1,7,4,schedule,The information could be clearer.
R000158,C000573,service,2025-01-11T06:07:00Z,2025-01-11T08:01:00Z,1,7,4,experience,The waiting time affected the experience.
R000159,C001858,support,2025-01-11T07:38:00Z,2025-01-11T08:07:00Z,1,7,3,communication,I needed more than one contact.
R000160,C000245,onboarding,2025-01-11T09:09:00Z,2025-01-11T11:47:00Z,1,10,4,information,The response was quick.
R000161,C001616,onboarding,2025-01-11T10:40:00Z,2025-01-11T13:27:00Z,1,7,5,information,Everything worked as expected.
R000162,C000574,renewal,2025-01-11T12:11:00Z,2025-01-11T13:09:00Z,1,6,3,relationship,I needed more than one contact.
R000163,C001412,onboarding,2025-01-11T13:42:00Z,2025-01-11T14:08:00Z,1,9,4,access,The response was quick.
R000164,C001821,service,2025-01-11T15:13:00Z,2025-01-11T17:53:00Z,1,7,5,schedule,I needed more than one contact.
R000165,C000774,service,2025-01-11T16:44:00Z,2025-01-11T19:26:00Z,1,5,4,schedule,The response was quick.
R000166,C001730,support,2025-01-11T18:15:00Z,2025-01-11T18:34:00Z,1,7,4,resolution,I needed more than one contact.
R000167,C000816,onboarding,2025-01-11T19:46:00Z,2025-01-11T20:53:00Z,1,9,4,information,I needed more than one contact.
R000168,C001720,service,2025-01-11T21:17:00Z,2025-01-11T23:25:00Z,1,8,3,experience,The waiting time affected the experience.
R000169,C002286,support,2025-01-11T22:48:00Z,2025-01-12T01:36:00Z,1,8,4,resolution,The waiting time affected the experience.
R000170,C000861,service,2025-01-12T00:19:00Z,2025-01-26T01:11:00Z,2,6,4,schedule,The response was quick.
R000171,C000265,support,2025-01-12T01:50:00Z,2025-01-12T03:24:00Z,1,8,3,communication,Everything worked as expected.
R000172,C001860,service,2025-01-12T03:21:00Z,2025-01-12T05:02:00Z,1,6,3,schedule,The information could be clearer.
R000173,C002050,service,2025-01-12T04:52:00Z,2025-01-12T05:17:00Z,1,10,3,schedule,The waiting time affected the experience.
R000174,C000828,support,2025-01-12T06:23:00Z,2025-01-12T08:33:00Z,1,10,3,resolution,Everything worked as expected.
R000175,C000898,service,2025-01-12T07:54:00Z,2025-01-12T09:17:00Z,1,9,3,schedule,The information could be clearer.
R000176,C000253,support,2025-01-12T09:25:00Z,2025-01-12T11:23:00Z,1,7,3,communication,The information could be clearer.
R000177,C000604,service,2025-01-12T10:56:00Z,2025-01-12T12:55:00Z,1,10,4,schedule,The response was quick.
R000178,C001868,support,2025-01-12T12:27:00Z,2025-01-12T15:08:00Z,1,6,4,communication,The waiting time affected the experience.
R000179,C001941,service,2025-01-12T13:58:00Z,2025-01-12T16:56:00Z,1,6,4,schedule,The waiting time affected the experience.
R000180,C000592,onboarding,2025-01-12T15:29:00Z,2025-01-12T18:20:00Z,1,10,3,access,Everything worked as expected.
R000181,C001817,support,2025-01-12T17:00:00Z,2025-01-12T17:50:00Z,1,4,2,communication,Everything worked as expected.
R000182,C000522,support,2025-01-12T18:31:00Z,2025-01-12T21:29:00Z,1,6,2,communication,The waiting time affected the experience.
R000183,C001242,support,2025-01-12T20:02:00Z,2025-01-12T22:33:00Z,1,7,3,resolution,I needed more than one contact.
R000184,C001857,renewal,2025-01-12T21:33:00Z,2025-01-12T23:47:00Z,1,10,3,relationship,The information could be clearer.
R000185,C000653,support,2025-01-12T23:04:00Z,2025-01-13T00:04:00Z,1,6,3,communication,Everything worked as expected.
R000186,C000920,onboarding,2025-01-13T00:35:00Z,2025-01-13T01:15:00Z,1,4,4,access,The information could be clearer.
R000187,C001090,onboarding,2025-01-13T02:06:00Z,2025-01-27T02:16:00Z,2,9,4,access,The waiting time affected the experience.
R000188,C000335,support,2025-01-13T03:37:00Z,2025-01-13T06:27:00Z,1,4,4,resolution,Everything worked as expected.
R000189,C002374,service,2025-01-13T05:08:00Z,2025-01-13T07:48:00Z,1,10,4,schedule,I needed more than one contact.
R000190,C001839,service,2025-01-13T06:39:00Z,2025-01-13T08:53:00Z,1,10,3,experience,The response was quick.
R000191,C002325,onboarding,2025-01-13T08:10:00Z,2025-01-13T08:54:00Z,1,9,5,access,The waiting time affected the experience.
R000192,C000406,onboarding,2025-01-13T09:41:00Z,2025-01-13T11:30:00Z,1,10,4,information,The response was quick.
R000193,C000719,support,2025-01-13T11:12:00Z,2025-01-13T12:07:00Z,1,6,2,resolution,The information could be clearer.
R000194,C001512,onboarding,2025-01-13T12:43:00Z,2025-01-13T13:03:00Z,1,5,4,access,The response was quick.
R000195,C001577,support,2025-01-13T14:14:00Z,2025-01-13T16:23:00Z,1,7,5,resolution,Everything worked as expected.
R000196,C000040,service,2025-01-13T15:45:00Z,2025-01-13T16:00:00Z,1,10,2,schedule,The waiting time affected the experience.
R000197,C002107,support,2025-01-13T17:16:00Z,2025-01-13T18:56:00Z,1,4,2,communication,The waiting time affected the experience.
R000198,C002385,service,2025-01-13T18:47:00Z,2025-01-13T19:37:00Z,1,6,3,experience,I needed more than one contact.
R000199,C000631,service,2025-01-13T20:18:00Z,2025-01-13T21:00:00Z,1,10,5,schedule,Everything worked as expected.
R000200,C002327,service,2025-01-13T21:49:00Z,2025-01-14T00:37:00Z,1,2,4,experience,The waiting time affected the experience.
R000201,C000190,support,2025-01-13T23:20:00Z,2025-01-14T00:05:00Z,1,6,3,resolution,The information could be clearer.
R000202,C002177,onboarding,2025-01-14T00:51:00Z,2025-01-14T03:30:00Z,1,7,5,information,Everything worked as expected.
R000203,C001433,onboarding,2025-01-14T02:22:00Z,2025-01-14T05:12:00Z,1,5,5,access,I needed more than one contact.
R000204,C000598,renewal,2025-01-14T03:53:00Z,2025-01-28T04:20:00Z,2,8,3,relationship,I needed more than one contact.
R000205,C001768,service,2025-01-14T05:24:00Z,2025-01-14T06:43:00Z,1,10,3,schedule,The waiting time affected the experience.
R000206,C001267,support,2025-01-14T06:55:00Z,2025-01-14T09:16:00Z,1,8,4,resolution,I needed more than one contact.
R000207,C000791,service,2025-01-14T08:26:00Z,2025-01-14T10:44:00Z,1,9,3,experience,I needed more than one contact.
R000208,C000513,support,2025-01-14T09:57:00Z,2025-01-14T11:39:00Z,1,3,2,resolution,I needed more than one contact.
R000209,C002308,renewal,2025-01-14T11:28:00Z,2025-01-14T13:00:00Z,1,6,3,relationship,The response was quick.
R000210,C001414,renewal,2025-01-14T12:59:00Z,2025-01-14T13:47:00Z,1,9,3,value,The response was quick.
R000211,C000842,service,2025-01-14T14:30:00Z,2025-01-14T14:58:00Z,1,8,4,schedule,The waiting time affected the experience.
R000212,C001407,service,2025-01-14T16:01:00Z,2025-01-14T17:05:00Z,1,3,2,schedule,The response was quick.
R000213,C001396,onboarding,2025-01-14T17:32:00Z,2025-01-14T20:05:00Z,1,10,4,access,The information could be clearer.
R000214,C001939,service,2025-01-14T19:03:00Z,2025-01-14T21:31:00Z,1,10,3,experience,I needed more than one contact.
R000215,C001719,onboarding,2025-01-14T20:34:00Z,2025-01-14T21:38:00Z,1,5,3,information,The information could be clearer.
R000216,C001504,service,2025-01-14T22:05:00Z,2025-01-14T22:58:00Z,1,9,2,schedule,The response was quick.
R000217,C000615,service,2025-01-14T23:36:00Z,2025-01-15T01:43:00Z,1,7,2,experience,I needed more than one contact.
R000218,C001133,service,2025-01-15T01:07:00Z,2025-01-15T01:48:00Z,1,7,5,schedule,Everything worked as expected.
R000219,C001632,onboarding,2025-01-15T02:38:00Z,2025-01-15T04:07:00Z,1,10,4,access,The information could be clearer.
R000220,C002112,service,2025-01-15T04:09:00Z,2025-01-15T04:57:00Z,1,8,3,experience,I needed more than one contact.
R000221,C000639,service,2025-01-15T05:40:00Z,2025-01-29T06:24:00Z,2,8,3,experience,I needed more than one contact.
R000222,C001569,support,2025-01-15T07:11:00Z,2025-01-15T07:40:00Z,1,3,3,resolution,I needed more than one contact.
R000223,C000434,service,2025-01-15T08:42:00Z,2025-01-15T10:49:00Z,1,10,3,experience,I needed more than one contact.
R000224,C000287,support,2025-01-15T10:13:00Z,2025-01-15T11:37:00Z,1,5,4,resolution,Everything worked as expected.
R000225,C000096,onboarding,2025-01-15T11:44:00Z,2025-01-15T14:23:00Z,1,10,5,access,The information could be clearer.
R000226,C001894,renewal,2025-01-15T13:15:00Z,2025-01-15T16:12:00Z,1,4,3,value,The response was quick.
R000227,C002081,renewal,2025-01-15T14:46:00Z,2025-01-15T16:33:00Z,1,6,4,value,Everything worked as expected.
R000228,C000665,service,2025-01-15T16:17:00Z,2025-01-15T17:19:00Z,1,8,3,experience,The information could be clearer.
R000229,C000504,service,2025-01-15T17:48:00Z,2025-01-15T19:32:00Z,1,10,3,schedule,The response was quick.
R000230,C000996,service,2025-01-15T19:19:00Z,2025-01-15T19:40:00Z,1,4,5,experience,The information could be clearer.
R000231,C000872,onboarding,2025-01-15T20:50:00Z,2025-01-15T21:25:00Z,1,9,3,information,I needed more than one contact.
R000232,C002132,service,2025-01-15T22:21:00Z,2025-01-16T01:12:00Z,1,7,4,experience,The information could be clearer.
R000233,C001112,support,2025-01-15T23:52:00Z,2025-01-16T01:12:00Z,1,9,3,resolution,I needed more than one contact.
